Nazwa (nie wpływa na rozkrój);Szerokość;Oklejanie szerokości;Wysokość;Oklejanie wysokości;Grubość płyty;Ilość sztuk;Słoje [0 = bez znaczenia / 1 = po drugim wymiarze (po wysokości) / 2 lub puste = po pierwszym wymiarze (po szerokości)]
Obudowa;900;=;600;=;18;1;0
Cokół;1761;=;100;=;18;1;0
Cokół;1756;=;100;=;18;1;0
Cokół;1980;=;100;=;18;1;0
Cokół;800;=;100;=;18;1;0
Szafka 60 1;800;-;550;-;18;2;0
Szafka 60 1;564;-;550;;18;1;0
Szafka 60 1;564;=;100;;18;2;0
Szafka 60 1;489;;490;;18;1;0
Szafka 60 1;477;;200;;18;1;0
Szafka 60 2;800;-;550;-;18;2;0
Szafka 60 2;564;-;550;;18;1;0
Szafka 60 2;564;=;100;;18;2;0
Szafka 60 2;489;;490;;18;2;0
Szafka 60 2;477;;200;;18;2;0
Szafka 80;800;-;550;-;18;2;0
Szafka 80;764;-;550;;18;1;0
Szafka 80;764;=;100;;18;2;0
Szafka 80;689;;490;;18;2;0
Szafka 80;677;;200;;18;2;0
Kuchenka;800;-;550;-;18;2;0
Kuchenka;564;-;550;;18;1;0
Kuchenka;564;=;100;;18;2;0
Kuchenka;489;;490;;18;3;0
Kuchenka;477;;200;;18;2;0
Kuchenka;477;;100;;18;1;0
Nerka lewa;800;-;550;-;18;1;0
Nerka lewa;800;;550;-;18;1;0
Nerka lewa;800;=;570;-;18;1;0
Nerka lewa;1044;-;550;;18;1;0
Nerka lewa;1044;=;100;;18;1;0
Nerka lewa;450;=;100;;18;1;0
Nerka prawa;800;-;550;-;18;2;0
Nerka prawa;800;;652;-;18;1;0
Nerka prawa;984;;652;;18;1;0
Nerka prawa;984;=;100;;18;1;0
Nerka prawa;552;=;100;;18;1;0
Lodówka;2000;-;550;=;18;2;0
Lodówka;720;-;550;;18;2;0
Lodówka góra;602;-;550;=;18;5;0
Lodówka góra;720;-;550;;18;5;0
Cargo;2000;-;350;=;18;2;0
Cargo;289;-;350;;18;8;0
Cargo góra;425;-;350;=;18;2;0
Cargo góra;289;-;350;;18;3;0
Piekarnik;2000;-;550;=;18;2;0
Piekarnik;564;-;550;;18;4;0
Piekarnik góra;602;-;550;=;18;2;0
Piekarnik góra;564;-;550;;18;3;0
Kolumna ekspres;1002;-;577;=;18;2;0
Kolumna ekspres;564;-;577;;18;4;0
